PULid	sig_gene_seq	low_level_substr	high_level_substr	Pub_year	degrad_biosyn
PUL0021	PL12_1,4.A.6,4.A.6,4.A.6,GH88,CHASE2,PfkB,DeoRC	glycosaminoglycan	glycosaminoglycan	2018	degradation
PUL0022	Mga|HTH_11,GH1,4.A.3,4.A.3	cellobiose	mono/di/trisaccharide	2018	degradation
PUL0023	GH1,4.A.3,4.A.3	cellobiose	mono/di/trisaccharide	2018	degradation
PUL0024	GH32,4.A.1,LacI,3.A.1,3.A.1,HTH_1,HTH_3,2.A.40	kestose	fructan	2020	degradation
PUL0025	8.A.3,1.B.18,GT2,GT4,GT2,GT2,9.B.18	capsule polysaccharide	capsule polysaccharide	2020	biosynthesis
PUL0026	PfkB,PfkB,1.B.14,GH35	ribose	mono/di/trisaccharide	2020	degradation
PUL0027	PL5_1	alginate	algal glycans	1999	biosynthesis
PUL0028	MerR,CBM40|GH33,3.A.1,3.A.1,SBP_bac_1,HTH_AraC,GH1,GH140	mucin	glycoprotein	2013	degradation
PUL0029	3.A.1,3.A.1,MarR,GH43_24,GH30_5,2.A.3,3.A.1,HTH_11,2.A.3,GH146,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28,3.A.1,3.A.1,LacI,3.A.1	arabinogalactan	galactan	2019	degradation
PUL0030	GH130,LacI,GH130,SBP_bac_1,GH27,3.A.1,3.A.1,CE7	galactomannan	beta-mannan	2016,2018,2018	degradation
PUL0031	GH32,2.A.1,LacI	sucrose	mono/di/trisaccharide	2006	degradation
PUL0032	LacI,2.A.1,GH13_18	sucrose	mono/di/trisaccharide	2006	degradation
PUL0033	LacI,4.A.1,GH13_29	trehalose	mono/di/trisaccharide	2003	degradation
PUL0034	CE10,1.B.35	pectin	pectin	2003	degradation
PUL0035	3.A.1,3.A.1,3.A.1,3.A.1,PL2_2	pectin	pectin	2001	degradation
PUL0036	8.A.3,1.B.18,PL12,GT4,9.B.18,Aminotran_1_2,9.B.18	emulsan	-	2001	biosynthesis
PUL0037	9.B.67,GH13,3.A.1,3.A.1,3.A.1,HTH_18|AraC_binding	raffinose	mono/di/trisaccharide	2019	degradation
PUL0038	SBP_bac_1,3.A.1,3.A.1,GH42,GH36	melibiose,galactose	multiple_substrates	2000	degradation
PUL0039	GH36	melibiose,galactose	multiple_substrates	2000	degradation
PUL0040	GH9,GH9|CBM3,GH5_17,GH9,PL11,GH5_1	cellulose	cellulose	2003,1992,2002	degradation
PUL0041	4.A.1,GH1	cellobiose	mono/di/trisaccharide	1997	degradation
PUL0042	GH13_4,LacI	sucrose	mono/di/trisaccharide	2018	degradation
PUL0043	8.A.3,1.B.18,GT4,9.B.18,9.B.146,9.B.18	capsule polysaccharide	capsule polysaccharide	2018	biosynthesis
PUL0044	GH43_10,GH3,GH43_12,GH31,GH97,GH43_29|CBM6,GH43_12,1.B.14,1.B.14,GH30_8,GH98|CBM35,GH115,CE6|CE1,GH43_29|CBM6,HTH_AraC,GH95,HTH_8|HTH_AraC,GH30,1.B.14,GH115	arabinoxylan	xylan	2015,2020	degradation
PUL0045	GH67,GH43_1,GH10,2.A.2,GH10,1.B.14,HTH_AraC	arabinoxylan	xylan	2015	degradation
PUL0046	GT2	O-antigen	O-antigen	2018	biosynthesis
PUL0047	2.A.66,GT4,AraC_binding,3.A.1,GT4|GT4	O-antigen	O-antigen	2020	biosynthesis
PUL0048	GH13_29,4.A.1,GntR	trehalose	mono/di/trisaccharide	2018	degradation
PUL0049	GH43_17,Aminotran_1_2,PALP,GH26,GH16,3.A.1	beta-glucan,galactomannan	multiple_substrates	2018	degradation
PUL0050	GH5_4,GH26,GH130,2.A.2,GH3,GH94	cellulose,galactomannan	multiple_substrates	2018	degradation
PUL0051	2.A.28,PL6|PL6_1,PL17_2|PL17,1.B.14,8.A.46	alginate	algal glycans	2018	degradation
PUL0052	1.B.14,GntR,PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,PfkB	alginate	algal glycans	2018	degradation
PUL0053	GntR,PL6,PL17_2|PL17,2.A.1	alginate	algal glycans	2018	degradation
PUL0054	PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,PfkB	alginate	algal glycans	2018	degradation
PUL0055	PL17_2|PL17,PL6|PL6_1,8.A.46,1.B.14,GntR	alginate	algal glycans	2018	degradation
PUL0056	PL6|PL6_1,1.B.14,PL17_2|PL17	alginate	algal glycans	2018	degradation
PUL0057	GT4,GT4	O-antigen	O-antigen	2018	biosynthesis
PUL0058	CBM48|GH13_9,GT5,GT35	glycogen	alpha-glucan	1994	biosynthesis
PUL0059	2.A.66,GT2	O-antigen	O-antigen	2018	biosynthesis
PUL0060	2.A.66,8.A.3,1.B.18,GT2,GT2,GT4,GT2,9.B.18,2.A.14,GntR	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0061	8.A.3,1.B.18,GT2,GT2,GT4,GT2,9.B.18,2.A.14,GT4,CE4	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0062	8.A.3,1.B.18,GT2,GT2,GT4,GT2,9.B.18,2.A.14	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0063	GH3,GH2,GH31,HTH_AraC,GH9,1.B.14,GH5_4,GH43_12,GH43_12,GH3	xyloglucan	xyloglucan	2019	degradation
PUL0064	1.B.14,GH5_4,Reg_prop,HTH_AraC,GH31,GH2,GH3	xyloglucan	xyloglucan	2019	degradation
PUL0065	1.B.14,8.A.46,GH43_12,GH5_4,HTH_AraC,GH31,GH2,GH3,GH95	xyloglucan	xyloglucan	2019	degradation
PUL0066	1.B.14,GH43_12,GH5_4,HTH_AraC,GH31,GH2,GH3,GH95	xyloglucan	xyloglucan	2019	degradation
PUL0067	GH2,GH5_4,8.A.46,1.B.14,GH31,HTH_AraC,GH95,GH3,GH43_12	xyloglucan	xyloglucan	2019	degradation
PUL0068	LacI,GH36,2.A.1,GH32	raffinose	mono/di/trisaccharide	1994	degradation
PUL0069	8.A.3,1.B.18,9.B.18,Aminotran_1_2,GT0,GT2,9.B.18,2.A.14	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0070	2.A.66,8.A.3,1.B.18,9.B.18,Aminotran_1_2,GT52,GT14,GT2,9.B.18,2.A.14,GT25,GT4,4.D.1,CE4	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0071	2.A.66,8.A.3,1.B.18,9.B.18,Aminotran_1_2,2.A.66,GT14,GT2,9.B.18,2.A.14,GT25,GT4,4.D.1,CE4	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0072	2.A.14,9.B.18,GT2,GT0,Aminotran_1_2,9.B.18,1.B.18,8.A.3	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0073	2.A.14,9.B.18,GT2,Aminotran_1_2,9.B.18,1.B.18,8.A.3	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0074	GntR,2.A.14,9.B.18,GT2,GT4,2.A.66,1.B.18,8.A.3	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0075	8.A.3,1.B.18,2.A.66,GT2,GT4,GT2,9.B.18,2.A.14,GntR	capsule polysaccharide	capsule polysaccharide	2019	biosynthesis
PUL0076	GT4,CE4	capsule polysaccharide,outer core capsule polysaccharide	multiple_substrates	2019	biosynthesis
PUL0077	GT4,CE4	capsule polysaccharide,outer core capsule polysaccharide	multiple_substrates	2019	biosynthesis
PUL0078	3.A.1,3.A.1,MarR,CBM22|GH10	xylan,xylose	multiple_substrates	1996	degradation
PUL0079	CE4,GT4,GT2	capsule polysaccharide,outer core capsule polysaccharide	multiple_substrates	2019	biosynthesis
PUL0080	CE4,GT4,GT2	capsule polysaccharide,outer core capsule polysaccharide	multiple_substrates	2019	biosynthesis
PUL0081	MarR,AraC_binding,PfkB,2.A.21,1.B.35,PL9_1,2.A.21,PL22|PL22	oligogalacturonide	pectin	2019	degradation
PUL0082	LacI,SBP_bac_1,3.A.1,3.A.1,GH4	melibiose,raffinose-oligosaccharide,stachyose	multiple_substrates	2019	degradation
PUL0083	CBM3|cohesin|cohesin|cohesin|cohesin|cohesin|cohesin,GH48,GH8,GH9|CBM3,CBM4|GH9,GH9,GH9|CBM3,GH5_17,GH9,GH5_7,GH5_1	lignocellulose	cellulose	2019	degradation
PUL0084	GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH27|CBM6,GH59|CBM6,GH62|CBM6|CE6,GH95|CBM32,CE1|CBM6,GH30_8|CBM6	lignocellulose	cellulose	2019	degradation
PUL0085	GH26,GH9,GH9	lignocellulose	cellulose	2019	degradation
PUL0086	PL10_1,CE8,PL11	lignocellulose	cellulose	2019	degradation
PUL0087	GH9|CBM3|CBM3,GH9|CBM3	lignocellulose	cellulose	2019	degradation
PUL0088	HTH_AraC,GH36,3.A.1,3.A.1,3.A.1,GH13_18,3.A.1,8.A.9	raffinose,melibiose,isomaltotriose	multiple_substrates	1996	degradation
PUL0089	GH5_4	lignocellulose	cellulose	2019	degradation
PUL0090	GT4,GT4,9.B.18,GT4	O-antigen	O-antigen	2019	biosynthesis
PUL0091	CE9,GH2,GH92,GH20,GH20,GH2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0092	GH20,GH2,GH20,GH33,8.A.46,1.B.14	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0093	2.A.1,PIG-L,HTH_AraC,2.A.6,3.A.1,1.C.105,HATPase_c,Trans_reg_C,CE9,GH2,GH92,GH20,GH20,GH2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0094	3.A.1,HD,1.B.42,1.B.14,GH27,1.B.14,8.A.46,GH33,GH20,GH2,GH20	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0095	1.B.42,1.B.14,GH27,1.B.14,8.A.46,GH33,GH20,GH2,GH20	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0096	1.B.14,8.A.46,GH33,GH20,GH2,GH20,GH20,GH92,GH2,CE9,3.A.1,HTH_AraC,GH29,GH97	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0097	1.B.14,8.A.46,GH33,GH20,GH2,GH20,GH20,GH92,GH2,CE9,3.A.1	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0098	8.A.46,1.B.14,GH33,2.A.1,MarR,HTH_3	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0099	CBM27|GH26|CBM23,GH3,GH3	beta-mannan	beta-mannan	2019	degradation
PUL0100	GH4,HTH_AraC,4.A.3,4.A.3,4.A.3	chitobiose	mono/di/trisaccharide	1997	degradation
PUL0101	CBM67|GH78,HTH_AraC,2.A.7,2.A.4,GH3,GH115,GH97	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0102	GH20,GH29,8.A.46,1.B.14,GH33,MarR,HTH_3,CBM67|GH78,HTH_AraC	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0103	2.A.4,2.A.7,HTH_AraC,CBM67|GH78,HTH_3,MarR,GH33,HTH_11	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0104	1.B.14,HTH_11,GH33,MarR,HTH_3,CBM67|GH78,HTH_AraC,2.A.7,2.A.4	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0105	GH33,MarR,HTH_3,CBM67|GH78,HTH_AraC,2.A.7,2.A.4,GH3,GH115,GH97	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0106	Pribosyltran,Trans_reg_C,1.B.14,GH20,GH2,2.A.115,GH2,GH2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0107	GerE,GH1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,Response_reg|HTH_18	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0108	Trans_reg_C,HisKA,3.A.1,GH2,2.A.21,Sigma70_r2|Sigma70_r4_2,GH3	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0109	Trans_reg_C,HisKA,3.A.1,GH2,2.A.21,Sigma70_r4_2|Sigma70_r2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0110	Trans_reg_C,HisKA,3.A.1,GH2,2.A.21,Sigma70_r4_2|Sigma70_r2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0111	HTH_AraC,GH4,2.A.2	melibiose	mono/di/trisaccharide	1998	degradation
PUL0112	9.B.156,1.C.39,Pribosyltran,Trans_reg_C,1.B.14,GH20,GH2,2.A.115,GH2,GH2	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0113	GerE,GH1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,HTH_AraC	O-glycan,N-glycan	multiple_substrates	2019	degradation
PUL0114	GH43_16|CBM6,GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6,GH62|CBM6|CE6,GH95|CBM32|CBM6,GH30_8|CBM6	arabinofuranose	mono/di/trisaccharide	2019	degradation
PUL0115	GH33,GH20,GH2,GH20,GH20,GH2	N-glycan	N-glycan	2019	degradation
PUL0116	GH20,TetR_N	N-glycan	N-glycan	2019	degradation
PUL0117	GH92,GH130,GH163,8.A.46,1.B.14,1.B.14,8.A.46,1.B.14,8.A.46,GH20,FecR,GerE	N-glycan	N-glycan	2019	degradation
PUL0118	GH3,GH158,GH16,1.B.14,GerE|Y_Y_Y	laminarin,beta-glucan	multiple_substrates	2020	degradation
PUL0119	GH29|CBM32	N-glycan	N-glycan	2019	degradation
PUL0120	GerE,FecR,1.B.14,8.A.46,GH18|CBM14	N-glycan,mucin	multiple_substrates	2019	degradation
PUL0121	3.A.1,3.A.1,3.A.1,Fer4,GH13_23,GH1,AsnC_trans_reg,2.A.88	4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside	mono/di/trisaccharide	2019	degradation
PUL0122	GH42,3.A.1,GH2,GH36	alpha-galactoside,beta-galactoside,raffinose,melibiose	multiple_substrates	1998	degradation
PUL0123	1.C.113,3.A.1,GH63,3.A.1,LacI,9.B.34,CBM67|GH78,8.A.49,HTH_3	4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside	mono/di/trisaccharide	2019	degradation
PUL0124	GH13_23,CbiA,GH1,2.A.1,2.A.119	4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside	mono/di/trisaccharide	2019	degradation
PUL0125	HTH_AraC,GH16,1.B.14,8.A.46,GH3	beta-glucan	beta-glucan 	2019,2020	degradation
PUL0126	LacI,PL7_5,1.B.14,SKI,PL6|PL6_1	alginate,ulvan	multiple_substrates	2019	degradation
PUL0127	GntR,CBM32|PL7_5,1.B.14,PL6_3,PL7_5,2.A.1,PL6|PL6_1,2.A.1	alginate,ulvan	multiple_substrates	2019	degradation
PUL0128	3.A.1,3.A.1,MarR,GH43_24,GH30_5,2.A.3,3.A.1,HTH_11,2.A.3,GH146,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28,3.A.1,3.A.1,LacI,3.A.1	hemicellulose	hemicellulose	2019	degradation
PUL0129	GH5_4,GH26,GH5_4,1.B.14,CE7,GH26,GH130,2.A.2	beta-mannan	beta-mannan	2018	degradation
PUL0130	AraC_binding,3.A.1,3.A.1,GT4,GT4	O-antigen	O-antigen	2019	biosynthesis
PUL0131	AraC_binding,3.A.1,3.A.1,Pkinase,GT4|GT4,GT4,GT4	O-antigen	O-antigen	2019	biosynthesis
PUL0132	GH5_4,CBM4,1.B.14,1.B.14,HTH_AraC	hemicellulose	hemicellulose	2018	degradation
PUL0133	2.A.66,Pyr_redox,GT2,GT2,9.B.18,8.A.3,8.A.3	exopolysaccharide	exopolysaccharide	2005	biosynthesis
PUL0134	1.B.14,8.A.46,CE8,PL9_1,PfkB,2.A.56,2.A.56,2.A.56,LacI,GH28,GH105,GH43_10,GH28|PL9_1,CE12,CE10|CE8,CE12,PL10_1	pectin	pectin	2019	degradation
PUL0135	CE12,1.B.14,GH28,GH105,GH105,GH43_10,LacI,2.A.56,2.A.56,2.A.56,PfkB,CE8,PL1_2	pectin	pectin	2019	degradation
PUL0136	PfkB,2.A.56,2.A.56,2.A.56,LacI,CE8|PL1_5,PL1_2,GH105,GH105,GH28,1.B.14	pectin	pectin	2019	degradation
PUL0137	2.A.2,GH2,LacI	lactose	mono/di/trisaccharide	2018	degradation
PUL0138	GH36,3.A.1,3.A.1,3.A.1,GH36	raffinose,melibiose	multiple_substrates	2018	degradation
PUL0139	3.A.1,3.A.1,3.A.1,MarR,3.A.1,LacI,GH51	arabinose	mono/di/trisaccharide	2018	degradation
PUL0140	GH43_12,LacI,SBP_bac_1,3.A.1,3.A.1,GH43_11,GH43_10	xylose	mono/di/trisaccharide	2018	degradation
PUL0141	LacI,GH13_18,2.A.1	sucrose	mono/di/trisaccharide	2018	degradation
PUL0142	3.A.1,3.A.1,Peripla_BP_3|LacI,3.A.1,GH13_30	maltose	mono/di/trisaccharide	2018	degradation
PUL0143	2.A.66,4.D.1,GT2,GT32,9.B.18	exopolysaccharide	exopolysaccharide	2018	degradation
PUL0144	GH35,SIS,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH1,PIG-L,GH18	chitin	chitin	2005	degradation
PUL0145	PL8_2,PL29,8.A.46,1.B.14,Response_reg|Reg_prop|HTH_18|HisKA|Y_Y_Y|HATPase_c,2.A.6,2.A.6,2.A.6,GH2,1.B.14,GH88,PL8_2	glycosaminoglycan,chondroitin sulfate	multiple_substrates	2018	degradation
PUL0146	GH16,1.B.14,GntR,2.A.1,GntR	carrageenan	algal glycans	2018	degradation
PUL0147	GH16,2.A.1,GntR,GntR,1.B.14,HTH_AraC,GH16,GH150	carrageenan	algal glycans	2018	degradation
PUL0148	GH127,GH127,2.A.1,GH127,GH129,HTH_AraC	carrageenan	algal glycans	2018	degradation
PUL0149	GH110,GH110,8.A.46,1.B.14	carrageenan	algal glycans	2018	degradation
PUL0150	PL6|PL6_1,PL17_2|PL17,2.A.1,PfkB,PL6_3,1.B.14,GerE	alginate	algal glycans	2018	degradation
PUL0151	PfkB,2.A.1,GntR,PL7,1.B.14,AraC_binding,PL17_2|PL17	alginate	algal glycans	2018,2020	degradation
PUL0152	3.D.2,3.D.2,3.D.2,PfkB,2.A.1,PL6|PL6_1,GntR	alginate	algal glycans	2018	degradation
PUL0153	GH1,4.A.3	lactose	mono/di/trisaccharide	2018	degradation
PUL0154	4.A.3,4.A.3,GH1	lactose	mono/di/trisaccharide	2018	degradation
PUL0155	GntR,3.A.1,3.A.1,3.A.1,3.A.1,PL15_1	alginate	algal glycans	2006	degradation
PUL0156	GH2	lactose	mono/di/trisaccharide	2018	degradation
PUL0157	4.A.3,GH1	lactose	mono/di/trisaccharide	2018	degradation
PUL0158	4.A.3,4.A.3,GH1	lactose	mono/di/trisaccharide	2018	degradation
PUL0159	GH2	lactose	mono/di/trisaccharide	2018	degradation
PUL0160	2.A.1,GH92,GH92,GH43_34,GH125,CBM32,8.A.46,1.B.14,GH92,GH92,GH92,GH76,LacI,GH2,GH92,2.A.1	alpha-mannan	alpha-mannan	2018	degradation
PUL0161	GH97,GH67,GH76,1.B.14,HTH_AraC,GH92,GH76,GH125,3.A.7	alpha-mannan	alpha-mannan	2018	degradation
PUL0162	1.B.14,GH92,GH99,9.B.14	alpha-mannan	alpha-mannan	2018	degradation
PUL0163	GH92,GH38|CBM32,GT32,GT32,GH130,GH125,GH76,GH92,HTH_AraC,1.B.14,GH76	alpha-mannan	alpha-mannan	2018	degradation
PUL0164	CE2,GH3,GH5_7,GH26,GH130,2.A.21,GH26,HTH_AraC,GH5_2,1.B.14,8.A.46,GH27,GH9,GH26	beta-mannan	beta-mannan	2018	degradation
PUL0165	GH9,GH27,8.A.46,1.B.14,GH5_2,HTH_AraC,GH26,2.A.21,GH130,GH26	beta-mannan	beta-mannan	2018	degradation
PUL0166	GH13_10,8.A.46,1.B.14,LacI	starch	alpha-glucan	2006	degradation
PUL0167	2.A.2,GH130,GH36,GH26,GH26,1.B.14,HTH_AraC	beta-mannan	beta-mannan	2018	degradation
PUL0168	GH2,HTH_6,8.A.5	galactose	mono/di/trisaccharide	2019	degradation
PUL0169	GH146,1.B.14,GH43_29,GH121,1.B.14	arabinofuranooligosaccharide	fructan	2018	degradation
PUL0170	GH3,HTH_AraC,GH16,1.B.14,8.A.46,GH3	beta-glucan	beta-glucan 	2017	degradation
PUL0171	GerE,FecR,1.B.14,8.A.46,GH18	N-glycan	N-glycan	2016	degradation
PUL0172	GT2,3.A.1,4.D.1	O-antigen	O-antigen	2016	biosynthesis
PUL0173	GT4,GT4,NUDIX,GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0174	GH31|CBM20,GH31|CBM35	starch	alpha-glucan	2016	degradation
PUL0175	GH130,GH5_7,GH27	galactomannan	beta-mannan	2006	degradation
PUL0176	GH31,GH15,3.A.1,3.A.1,3.A.1,MarR	isomaltose	mono/di/trisaccharide	2016	degradation
PUL0177	4.D.1,2.A.66,GT4,9.B.18	O-antigen	O-antigen	2016	biosynthesis
PUL0178	2.A.2,GH130,GH36,GH26,GH26,1.B.14,HTH_AraC	galactomannan	beta-mannan	2016,2011	degradation
PUL0179	CE7,2.A.2,GH130,GH26,GH26,1.B.14,HTH_AraC	galactomannan	beta-mannan	2016	degradation
PUL0180	2.A.38,TrkA_C,GH36,GH29,1.B.14,HTH_AraC,2.A.1,GH29,9.B.97,2.A.64	galactomannan	beta-mannan	2016,2011	degradation
PUL0181	GT4,NUDIX,GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0182	GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0183	GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0184	GT4	O-antigen	O-antigen	2016	biosynthesis
PUL0186	GH1,2.A.123,Mga|HTH_11,4.A.3,4.A.3	cellobiose	mono/di/trisaccharide	2007	degradation
PUL0187	HTH_AraC,8.A.59,3.A.1,3.A.1,CBM54|GH16|CBM4|CBM4|CBM6|CBM4|CBM4,GH16,3.A.1	beta-glucan	beta-glucan 	2016	degradation
PUL0188	9.B.18,Aminotran_1_2,GT0,2.A.66,GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0189	GH95,GH140,CBM67|GH78|GH33,GH28,CBM67|GH78,GH43_18,PL1_2,1.B.14,GH92	pectin	pectin	2016	degradation
PUL0190	GH51,GH146,NUDIX,2.A.21,GH43_4,1.B.14,GH43_4,GH51,GH43_29	pectin	pectin	2016	degradation
PUL0191	GH105,CE8,CE12|CE8,AAA,HTH_AraC,1.B.14,PL1_2,PL1_2	pectin	pectin	2016	degradation
PUL0192	GH106,GH28,GH28,CE12,GH2,GH43_18|GH43_34|CBM32,GH42,GH28,1.B.14,1.B.14,1.B.14,PL11,PL26,CE12|CE12,GH105,PL11_1,GH105,HTH_AraC	pectin	pectin	2016	degradation
PUL0193	GH2,PL11,GH28,GH117|GH117,HTH_AraC,1.B.14,8.A.46,PL11,GH28,GH105,1.B.14,1.B.14,GH28	pectin	pectin	2016	degradation
PUL0194	GH20,GH38,GH125,GH92,GH29	N-glycan	N-glycan	2017	degradation
PUL0195	3.A.23,4.A.3,4.A.3,4.A.3	cellobiose	mono/di/trisaccharide	2016	degradation
PUL0196	GH20,GntR,SIS,CE9,9.B.207,4.A.6,4.A.6,4.A.6,4.A.6	lacto-n-triose	human milk oligosaccharide	2016	degradation
PUL0197	GT35,GH77,LacI,3.A.1,3.A.1,3.A.1,3.A.1	maltose	mono/di/trisaccharide	2007	degradation
PUL0198	2.A.66,GT2,GT2	O-antigen	O-antigen	2016	biosynthesis
PUL0199	CBM16|CBM32|PL18,PL6,PL6,SBP_bac_3,PfkB,2.A.1,AraC_binding,PL17_2|PL17,PL6|PL6_1,PL7_5,GntR	alginate	algal glycans	2016	degradation
PUL0200	GT2,GT2	O-antigen	O-antigen	2015	biosynthesis
PUL0201	2.A.66,GT2	O-antigen	O-antigen	2015	biosynthesis
PUL0202	GT4,NUDIX,GT2	O-antigen	O-antigen	2015	biosynthesis
PUL0203	GH32,GH32,8.A.46,1.B.14,GH32	exopolysaccharide	exopolysaccharide	2015	degradation
PUL0204	8.A.9,8.A.46,1.B.14,GH97,8.A.9	exopolysaccharide	exopolysaccharide	2015	degradation
PUL0205	GH31,GH31,GH66,8.A.46,1.B.14	exopolysaccharide	exopolysaccharide	2015	degradation
PUL0206	1.B.14,GH2	mucin	glycoprotein	2015	degradation
PUL0207	PL12_1,4.A.6,4.A.6,4.A.6,GH88,4.A.6	N-glycan	N-glycan	2015	degradation
